Ticker,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA
Price,Open,High,Low,Close,Volume
Date,,,,,
2020-01-02,16.125675635257974,16.389046116319864,16.04250582412316,16.282773971557617,5876000
2020-01-03,16.171875188459637,16.28738858266292,16.019396662065937,16.074844360351562,7345800
2020-01-06,16.033262389950025,16.21808279680155,15.890025120499354,16.116432189941406,6366600
2020-01-07,16.13029249288801,16.250425663679227,16.014779082952522,16.241186141967773,6303600
2020-01-08,16.264286190878153,16.273527473888564,15.626651763916016,15.626651763916016,8153800
2020-01-09,15.709823635507277,15.737547488221692,15.349422363193604,15.39562702178955,9843000
2020-01-10,15.478798669927261,15.848441270719967,15.474178908552645,15.70982551574707,6283800
2020-01-13,15.74679033144156,15.908508415132719,15.71444495210841,15.857682228088379,8200200
2020-01-14,15.913128119127942,16.171878814697266,15.751410036018934,16.171878814697266,10054000
2020-01-15,16.194982654590746,16.278152465820312,16.019401746151093,16.278152465820312,6277600
2020-01-16,16.305873781876024,16.86495827707975,16.305873781876024,16.573863983154297,9387200
2020-01-17,16.643174946729424,17.040541421756497,16.63393366096193,17.003576278686523,11728200
2020-01-20,17.003576511970834,17.525697708129883,16.929647987411638,17.525697708129883,4490200
2020-01-21,17.488729337629934,17.595003224507582,17.285426373253237,17.322391510009766,6133800
2020-01-22,17.484110874412476,17.973888397216797,17.350114887617682,17.973888397216797,5166200
2020-01-23,17.835276651824095,18.3204345703125,17.641214894505083,18.3204345703125,8711200
2020-01-24,18.343532507111195,19.156746255299424,18.209536509155605,19.142885208129883,10146000
2020-01-27,18.851782173430784,19.29073334456855,18.39896996152467,18.93033218383789,11136200
2020-01-28,18.921099522484063,19.591077745490228,18.81944714362113,19.41087532043457,8750200
2020-01-29,19.57259715768903,20.45973951280703,19.57259715768903,19.586458206176758,16032600
2020-01-30,19.313835666713864,19.729684515706314,18.731649040718633,18.93033218383789,16845200
2020-01-31,18.851791911514947,19.165988590256454,18.130989217715694,18.209537506103516,19359800
2020-02-03,18.389737023336846,18.981166961627462,18.329669548431824,18.791723251342773,12672200
2020-02-04,19.24915685410839,19.44322032246615,18.6762094970371,18.722415924072266,11099200
2020-02-05,18.87028151992654,19.27688944919018,18.87028151992654,19.115169525146484,10505000
2020-02-06,19.369289875825327,20.13630069478446,19.24915669173718,19.79438018798828,12966000
2020-02-07,19.80823531426776,20.039262090659104,18.990400314331055,18.990400314331055,7877000
2020-02-10,18.9811698482539,19.54487425296794,18.630007993584236,19.1890926361084,9330400
2020-02-11,19.42011213214198,19.89602853596582,19.290737688917236,19.891407012939453,6558200
2020-02-12,20.053134736425644,20.875589899949752,20.043893449323708,20.5891170501709,12719000
2020-02-13,20.468975891384606,21.111230168715405,19.96071759262355,21.055784225463867,11401600
2020-02-14,21.14357378249503,21.947547891318713,21.055784225463867,21.055784225463867,16366800
2020-02-17,21.09275106350952,21.522461124196816,20.764691613214183,21.152816772460938,7865400
2020-02-18,21.069654078519555,21.115860519374127,20.561395567287718,20.653806686401367,15460200
2020-02-19,21.254471329994757,22.770006982537872,21.254471329994757,22.557462692260742,43934000
2020-02-20,22.201677226612716,22.917860021807687,21.942928314208984,21.942928314208984,14499600
2020-02-21,21.915208064991873,23.162753460621943,21.716524824525838,23.01027488708496,17025400
2020-02-26,21.789930584405408,22.466808854702315,21.49785229627068,21.711116790771484,21268200
2020-02-27,21.701835777127688,21.701835777127688,20.255354571315447,20.385168075561523,23533000
2020-02-28,20.28317921234947,20.714341791947643,19.309587317577844,20.0050106048584,25501800
2020-03-02,20.352719801453635,21.78529167175293,20.056004415637485,21.78529167175293,19950000
2020-03-03,21.97073979340509,22.981421795334445,21.808475064516255,22.216455459594727,19387200
2020-03-04,22.948966949890494,23.088051244361097,22.179365300696883,22.466806411743164,12223400
2020-03-05,22.341628722194606,22.578073600797943,21.140864591699803,21.650842666625977,12970600
2020-03-06,20.40371475340003,20.913692798960543,20.097728633484742,20.40835189819336,18766600
2020-03-09,18.54925207523047,19.235404449427733,18.090273802314186,18.428712844848633,16133200
2020-03-10,19.471851657336238,20.005010207755866,18.730067539715993,19.430126190185547,17062400
2020-03-11,18.9386895231103,19.44403041028518,17.158406209155462,18.173725128173828,14382800
2020-03-12,16.6901591907848,16.722612136615982,15.081412725069447,15.299312591552734,15260000
