Granularidade_Geografica;Categoria;Filtro;Localidade;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Sudeste;Localidade;Total;Região;;;2021;;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2021;;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2021;;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2021;;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2021;;%;5.5
Sul;Localidade;Total;Região;;;2021;;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2021;;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2021;;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2021;;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2021;;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2021;;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2021;;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2021;;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2021;;%;5.5
