Granularidade_Geografica;Categoria;Filtro;Localidade;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Acre;Localidade;Total;Estado;Acre;AC;2015;0,227;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2015;0,153;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2015;0,112;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2015;0,209;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2015;0,148;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2015;0,187;%;5.5
Nordeste;Localidade;Total;Região;;;2015;0,244;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2015;0,268;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2015;0,276;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2015;0,256;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2015;0,222;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2015;0,264;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2015;0,218;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2015;0,275;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2015;0,221;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2015;0,233;%;5.5
Sudeste;Localidade;Total;Região;;;2015;0,105;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2015;0,153;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2015;0,133;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2015;0,084;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2015;0,088;%;5.5
Sul;Localidade;Total;Região;;;2015;0,113;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2015;0,133;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2015;0,096;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2015;0,103;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2015;0,135;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2015;0,176;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2015;0,151;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2015;0,138;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2015;0,074;%;5.5
Brasil;Localidade;Total;Brasil;;;2016;0,156;%;5.5
Norte;Localidade;Total;Região;;;2016;0,192;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2016;0,206;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2016;0,236;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2016;0,165;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2016;0,155;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2016;0,202;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2016;0,134;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2016;0,21;%;5.5
Nordeste;Localidade;Total;Região;;;2016;0,246;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2016;0,262;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2016;0,271;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2016;0,255;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2016;0,22;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2016;0,251;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2016;0,223;%;5.5
